date,symbol,Adjusted,Close,High,Low,Open,Volume
2007-01-03,AAPL,10.416352,11.971429,12.368571,11.7,12.327143,309579900
2007-01-04,AAPL,10.647548,12.237143,12.278571,11.974286,12.007143,211815100
2007-01-05,AAPL,10.571726,12.15,12.314285,12.057143,12.252857,208685400
2007-01-08,AAPL,10.623935,12.21,12.361428,12.182858,12.28,199276700
2007-01-09,AAPL,11.506466,13.224286,13.282857,12.164286,12.35,837324600
2007-01-10,AAPL,12.057114,13.857142,13.971429,13.35,13.535714,738220000
2007-01-11,AAPL,11.907951,13.685715,13.825714,13.585714,13.705714,360063200
2007-01-12,AAPL,11.761279,13.517143,13.58,13.318571,13.512857,328172600
2007-01-16,AAPL,12.069544,13.871428,13.892858,13.635715,13.668571,311019100
2007-01-17,AAPL,11.802299,13.564285,13.942857,13.545714,13.937143,411565000
2007-01-18,AAPL,11.071415,12.724286,13.158571,12.721429,13.157143,591151400
2007-01-19,AAPL,11.000564,12.642858,12.807143,12.588572,12.661428,341118400
2007-01-22,AAPL,10.788009,12.398571,12.737143,12.235714,12.734285,363506500
2007-01-23,AAPL,10.652524,12.242857,12.501429,12.215714,12.247143,301856100
2007-01-24,AAPL,10.776822,12.385715,12.45,12.297143,12.382857,231953400
2007-01-25,AAPL,10.720886,12.321428,12.642858,12.29,12.444285,226493400
2007-01-26,AAPL,10.612743,12.197143,12.481428,12.141429,12.444285,246718500
2007-01-29,AAPL,10.682353,12.277143,12.378572,12.218572,12.328571,225416100
2007-01-30,AAPL,10.633876,12.221429,12.355714,12.178572,12.347143,144492600
2007-01-31,AAPL,10.656251,12.247143,12.285714,12.05,12.122857,214017300
2007-02-01,AAPL,10.533192,12.105714,12.324286,12.105714,12.318571,166085500
2007-02-02,AAPL,10.534437,12.107142,12.178572,11.957143,12.017143,155382500
2007-02-05,AAPL,10.433752,11.991428,12.175714,11.991428,12.042857,144713100
2007-02-06,AAPL,10.459856,12.021428,12.067142,11.837143,12.064285,216098400
2007-02-07,AAPL,10.708457,12.307143,12.34,11.935715,12.068571,266706300
2007-02-08,AAPL,10.712186,12.311429,12.358571,12.201428,12.204286,169757700
2007-02-09,AAPL,10.350472,11.895715,12.314285,11.887143,12.268572,215135200
2007-02-12,AAPL,10.550594,12.125714,12.168571,11.947143,12.061429,181017900
2007-02-13,AAPL,10.528221,12.1,12.184286,12.042857,12.165714,145246500
2007-02-14,AAPL,10.602801,12.185715,12.234285,12.081429,12.09,126995400
2007-02-15,AAPL,10.591615,12.172857,12.231428,12.111428,12.205714,90915300
2007-02-16,AAPL,10.54438,12.118571,12.201428,12.094286,12.178572,99967000
2007-02-20,AAPL,10.677382,12.271428,12.308572,12.022857,12.092857,154425600
2007-02-21,AAPL,11.08757,12.742857,12.784286,12.28,12.282857,288828400
2007-02-22,AAPL,11.126102,12.787143,12.972857,12.647142,12.971429,209556200
2007-02-23,AAPL,11.071415,12.724286,12.905714,12.692857,12.737143,129473400
2007-02-26,AAPL,11.001805,12.644286,12.857142,12.515715,12.834286,153962200
2007-02-27,AAPL,10.43251,11.99,12.44,11.915714,12.328571,286453300
2007-02-28,AAPL,10.517034,12.087143,12.228572,11.857142,11.857142,229868800
2007-03-01,AAPL,10.82157,12.437143,12.615714,11.964286,12.004286,353882200
2007-03-02,AAPL,10.616474,12.201428,12.505714,12.172857,12.395715,215000100
2007-03-05,AAPL,10.729586,12.331429,12.664286,12.251429,12.27,209724900
2007-03-06,AAPL,10.96203,12.598572,12.615714,12.485714,12.542857,180796700
2007-03-07,AAPL,10.903606,12.531428,12.71,12.492857,12.578571,156571100
2007-03-08,AAPL,10.938412,12.571428,12.674286,12.494286,12.655714,127752800
2007-03-09,AAPL,10.93468,12.567142,12.692857,12.485714,12.685715,112959000
2007-03-12,AAPL,11.170854,12.838572,12.855714,12.57,12.581429,182352100
2007-03-13,AAPL,10.988131,12.628572,12.942857,12.628572,12.772857,216972700
2007-03-14,AAPL,11.187015,12.857142,12.857142,12.56,12.657143,199146500
2007-03-15,AAPL,11.133562,12.795714,12.908571,12.758572,12.851429,139874700
2007-03-16,AAPL,11.13605,12.798572,12.855714,12.76,12.791429,142926000
2007-03-19,AAPL,11.327473,13.018572,13.078571,12.798572,12.891429,178240300
2007-03-20,AAPL,11.370974,13.068571,13.12,13.008572,13.05,122229100
2007-03-21,AAPL,11.668055,13.41,13.428572,13.092857,13.141429,171724000
2007-03-22,AAPL,11.679242,13.422857,13.48,13.285714,13.39,140373100
2007-03-23,AAPL,11.624548,13.36,13.438571,13.328571,13.335714,112721000
2007-03-26,AAPL,11.914167,13.692857,13.7,13.328571,13.427143,216246800
2007-03-27,AAPL,11.86569,13.637143,13.832857,13.571428,13.672857,233013200
2007-03-28,AAPL,11.589743,13.32,13.628572,13.307143,13.554286,235584300
2007-03-29,AAPL,11.653137,13.392858,13.455714,13.175714,13.455714,181430900
2007-03-30,AAPL,11.548724,13.272857,13.525714,13.25,13.468572,150139500
